"","doid","is_a"
"8144"," DOID:0080625"," DOID:0050590 "
"8147"," DOID:0080626"," DOID:9553 "
"8150"," DOID:0080627"," DOID:225 "
"8153"," DOID:0080628"," DOID:0080627 "
"8156"," DOID:0080629"," DOID:0080627 "
"8159"," DOID:0080630"," DOID:0080638 "
"8162"," DOID:0080631"," DOID:225 "
"8165"," DOID:0080632"," DOID:681 "
"8168"," DOID:0080633"," DOID:0080015 "
"8171"," DOID:0080634"," DOID:10629 "
"8174"," DOID:0080635"," DOID:10629 "
"8177"," DOID:0080636"," DOID:10629 "
"8180"," DOID:0080637"," DOID:10629 "
"8183"," DOID:0080638"," DOID:9952 "
"8186"," DOID:0080639"," DOID:184 "
"8189"," DOID:0080640"," DOID:0050625 "
"8192"," DOID:0080641"," DOID:8649 "
"8195"," DOID:0080642"," DOID:0080599 "
"8198"," DOID:0080643"," DOID:0080630 "
"8201"," DOID:0080644"," DOID:0080630 "
"8204"," DOID:0080645"," DOID:0080630 "
"8207"," DOID:0080646"," DOID:0080630 "
"8210"," DOID:0080647"," DOID:0080630 "
"8213"," DOID:0080648"," DOID:0080630 "
"8216"," DOID:0080649"," DOID:0080630 "
"8219"," DOID:0080650"," DOID:0080630 "
"8222"," DOID:0080651"," DOID:0080630 "
"8225"," DOID:0080652"," DOID:585 "
"8228"," DOID:0080653"," DOID:18 "
"8231"," DOID:0080654"," DOID:0080653 "
"8234"," DOID:0080655"," DOID:557 "
"8237"," DOID:0080656"," DOID:14449 "
"8240"," DOID:0080661"," DOID:37 "
"8243"," DOID:0080662"," DOID:10273 "
"8246"," DOID:0080663"," DOID:10273 "
"8249"," DOID:0080664"," DOID:2256 "
"8252"," DOID:0080665"," DOID:655 "
"8255"," DOID:0080666"," DOID:655 "
"8258"," DOID:0080667"," DOID:0060160 "
"8261"," DOID:0080669"," DOID:0060457 "
"8264"," DOID:0080670"," DOID:0060451 "
"8267"," DOID:0080671"," DOID:0060451 "
"8270"," DOID:0080672"," DOID:0060465 "
"8273"," DOID:0080673"," DOID:0060465 "
"8276"," DOID:0080674"," DOID:3459 "
"8279"," DOID:0080675"," DOID:0080046 "
"8282"," DOID:0080676"," DOID:0080046 "
"8285"," DOID:0080677"," DOID:2256 "
"8288"," DOID:0080678"," DOID:0080488 "
"8291"," DOID:0080679"," DOID:0080072 "
"8294"," DOID:0080680"," DOID:0080072 "
"8297"," DOID:0080681"," DOID:0080072 "
"8300"," DOID:0080682"," DOID:0080072 "
"8303"," DOID:0080683"," DOID:4123 "
"8306"," DOID:0080684"," DOID:0080879 "
"8309"," DOID:0080685"," DOID:520 "
"8312"," DOID:0080686"," DOID:423 "
"8315"," DOID:0080687"," DOID:423 "
"8318"," DOID:0080688"," DOID:225 "
"8321"," DOID:0080689"," DOID:0080688 "
"8324"," DOID:0080690"," DOID:225 "
"8327"," DOID:0080691"," DOID:0080690 "
"8330"," DOID:0080692"," DOID:0080691 "
"8333"," DOID:0080693"," DOID:0080691 "
"8336"," DOID:0080694"," DOID:225 "
"8339"," DOID:0080695"," DOID:225 "
"8342"," DOID:0080696"," DOID:225 "
"8345"," DOID:0080697"," DOID:0050780 "
"8348"," DOID:0080698"," DOID:0050780 "
"8351"," DOID:0080699"," DOID:9252 "
"8354"," DOID:0080700"," DOID:0080015 "
"8357"," DOID:0080701"," DOID:2452 "
"8360"," DOID:0080702"," DOID:0050902 "
"8363"," DOID:0080703"," DOID:0050902 "
"8366"," DOID:0080704"," DOID:0080703 "
"8369"," DOID:0080705"," DOID:0080703 "
"8372"," DOID:0080706"," DOID:0050902 "
"8375"," DOID:0080707"," DOID:0080706 "
"8378"," DOID:0080708"," DOID:0080706 "
"8381"," DOID:0080709"," DOID:612 "
"8384"," DOID:0080710"," DOID:612 "
"8387"," DOID:0080711"," DOID:0080599 "
"8390"," DOID:0080712"," DOID:0050177 "
"8393"," DOID:0080713"," DOID:225 "
"8396"," DOID:0080714"," DOID:225 "
"8399"," DOID:0080715"," DOID:0112202 "
"8402"," DOID:0080716"," DOID:225 "
"8405"," DOID:0080717"," DOID:0080716 "
"8408"," DOID:0080718"," DOID:423 "
"8411"," DOID:0080719"," DOID:423 "
"8414"," DOID:0080720"," DOID:225 "
"8417"," DOID:0080721"," DOID:2256 "
"8420"," DOID:0080722"," DOID:0080724 "
"8423"," DOID:0080723"," DOID:0080724 "
"8426"," DOID:0080724"," DOID:225 "
"8429"," DOID:0080725"," DOID:2121 "
"8432"," DOID:0080726"," DOID:13359 "
"8435"," DOID:0080727"," DOID:13359 "
"8438"," DOID:0080728"," DOID:13359 "
"8441"," DOID:0080729"," DOID:13359 "
"8444"," DOID:0080730"," DOID:13359 "
"8447"," DOID:0080731"," DOID:13359 "
"8450"," DOID:0080732"," DOID:13359 "
"8453"," DOID:0080733"," DOID:13359 "
"8456"," DOID:0080734"," DOID:13359 "
"8459"," DOID:0080735"," DOID:13359 "
"8462"," DOID:0080736"," DOID:13359 "
"8465"," DOID:0080737"," DOID:13359 "
"8468"," DOID:0080738"," DOID:13359 "
"8471"," DOID:0080739"," DOID:13359 "
"8474"," DOID:0080740"," DOID:10314 "
"8477"," DOID:0080741"," DOID:9588 "
"8480"," DOID:0080742"," DOID:2048 "
"8483"," DOID:0080743"," DOID:322 "
"8486"," DOID:0080744"," DOID:417 "
"8489"," DOID:0080745"," DOID:633 "
"8492"," DOID:0080746"," DOID:37 "
"8495"," DOID:0080747"," DOID:1555 "
"8498"," DOID:0080748"," DOID:0080747 "
"8501"," DOID:0080749"," DOID:0080747 "
"8504"," DOID:0080750"," DOID:1526 "
"8507"," DOID:0080751"," DOID:1697 "
"8510"," DOID:0080752"," DOID:0080751 "
"8513"," DOID:0080753"," DOID:0080751 "
"8516"," DOID:0080754"," DOID:0080753 "
"8519"," DOID:0080755"," DOID:0080753 "
"8522"," DOID:0080756"," DOID:0080751 "
"8525"," DOID:0080757"," DOID:1062 "
"8528"," DOID:0080758"," DOID:1062 "
"8531"," DOID:0080759"," DOID:1062 "
"8534"," DOID:0080760"," DOID:1062 "
"8537"," DOID:0080761"," DOID:1062 "
"8540"," DOID:0080762"," DOID:0110274 "
"8543"," DOID:0080763"," DOID:10534 "
"8546"," DOID:0080764"," DOID:0080763 "
"8549"," DOID:0080765"," DOID:0050888 "
"8552"," DOID:0080766"," DOID:0050467 "
"8555"," DOID:0080767"," DOID:0060051 "
"8558"," DOID:0080768"," DOID:1826 "
"8561"," DOID:0080769"," DOID:1826 "
"8564"," DOID:0080770"," DOID:12241 "
"8567"," DOID:0080771"," DOID:12241 "
"8570"," DOID:0080772"," DOID:12241 "
"8573"," DOID:0080773"," DOID:12241 "
"8576"," DOID:0080774"," DOID:12241 "
"8579"," DOID:0080775"," DOID:4674 "
"8582"," DOID:0080776"," DOID:4674 "
"8585"," DOID:0080777"," DOID:3905 "
"8588"," DOID:0080778"," DOID:409 "
"8591"," DOID:0080779"," DOID:0050745 "
"8594"," DOID:0080780"," DOID:9119 "
"8597"," DOID:0080781"," DOID:0060089 "
"8600"," DOID:0080782"," DOID:4074 "
"8603"," DOID:0080783",NA
"8605"," DOID:0080784"," DOID:18 "
"8608"," DOID:0080785"," DOID:0050694 "
"8611"," DOID:0080786"," DOID:0050694 "
"8614"," DOID:0080787"," DOID:0050788 "
"8617"," DOID:0080788"," DOID:0050788 "
"8620"," DOID:0080789"," DOID:2908 "
"8623"," DOID:0080790"," DOID:2908 "
"8626"," DOID:0080791"," DOID:2908 "
"8629"," DOID:0080792"," DOID:2908 "
"8632"," DOID:0080794"," DOID:8761 "
"8635"," DOID:0080795"," DOID:9119 "
"8638"," DOID:0080796"," DOID:9119 "
"8641"," DOID:0080797"," DOID:0050743 "
"8644"," DOID:0080798"," DOID:8761 "
"8647"," DOID:0080799"," DOID:4931 "
"8650"," DOID:0080800"," DOID:0050904 "
"8653"," DOID:0080801"," DOID:0080033 "
"8656"," DOID:0080802"," DOID:0080033 "
"8659"," DOID:0080803"," DOID:0050577 "
"8662"," DOID:0080804"," DOID:0050577 "
"8665"," DOID:0080805"," DOID:0050577 "
"8668"," DOID:0080806"," DOID:0050577 "
"8671"," DOID:0080807"," DOID:0080032 "
"8674"," DOID:0080808"," DOID:0050904 "
"8677"," DOID:0080809"," DOID:2841 "
"8680"," DOID:0080810"," DOID:2841 "
"8683"," DOID:0080811"," DOID:0080809 "
"8686"," DOID:0080812"," DOID:0080809 "
"8689"," DOID:0080813"," DOID:0080809 "
"8692"," DOID:0080814"," DOID:0080809 "
"8695"," DOID:0080815"," DOID:0080809 "
"8698"," DOID:0080816"," DOID:0080809 "
"8701"," DOID:0080817"," DOID:0080809 "
"8704"," DOID:0080818"," DOID:0080809 "
"8707"," DOID:0080819"," DOID:9360 "
"8710"," DOID:0080820"," DOID:0080819 "
"8713"," DOID:0080821"," DOID:9360 "
"8716"," DOID:0080822"," DOID:9360 "
"8719"," DOID:0080823"," DOID:0080810 "
"8722"," DOID:0080824"," DOID:0080809 "
"8725"," DOID:0080825"," DOID:9415 "
"8728"," DOID:0080826"," DOID:0080809 "
"8731"," DOID:0080827"," DOID:934 "
"8734"," DOID:0080828"," DOID:225 "
"8737"," DOID:0080829"," DOID:0060084 "
"8740"," DOID:0080830"," DOID:0080829 "
"8743"," DOID:0080831"," DOID:1561 "
"8746"," DOID:0080832"," DOID:1561 "
"8749"," DOID:0080833"," DOID:786 "
"8752"," DOID:0080834"," DOID:786 "
"8755"," DOID:0080835"," DOID:225 "
"8758"," DOID:0080836"," DOID:225 "
"8761"," DOID:0080837"," DOID:225 "
"8764"," DOID:0080839"," DOID:655 "
"8767"," DOID:0080840"," DOID:5723 "
"8770"," DOID:0080841"," DOID:0060039 "
"8773"," DOID:0080842"," DOID:3565 "
"8776"," DOID:0080843"," DOID:3565 "
"8779"," DOID:0080844"," DOID:0060288 "
"8782"," DOID:0080845"," DOID:0060288 "
"8785"," DOID:0080846"," DOID:0081062 "
"8788"," DOID:0080848"," DOID:0080599 "
"8791"," DOID:0080849"," DOID:5614 "
"8794"," DOID:0080850"," DOID:9182 "
"8797"," DOID:0080851"," DOID:9182 "
"8800"," DOID:0080852"," DOID:9182 "
"8803"," DOID:0080854"," DOID:3069 "
"8806"," DOID:0080855"," DOID:480 "
"8809"," DOID:0080856"," DOID:0080855 "
"8812"," DOID:0080857"," DOID:5426 "
"8815"," DOID:0080858"," DOID:5426 "
"8818"," DOID:0080859"," DOID:5426 "
"8821"," DOID:0080860"," DOID:5426 "
"8824"," DOID:0080861"," DOID:5426 "
"8827"," DOID:0080862"," DOID:5426 "
"8830"," DOID:0080863"," DOID:5426 "
"8833"," DOID:0080864"," DOID:5426 "
"8836"," DOID:0080865"," DOID:5426 "
"8839"," DOID:0080866"," DOID:5426 "
"8842"," DOID:0080867"," DOID:5426 "
"8845"," DOID:0080868"," DOID:5426 "
"8848"," DOID:0080869"," DOID:5426 "
"8851"," DOID:0080870"," DOID:5426 "
"8854"," DOID:0080871"," DOID:5426 "
"8857"," DOID:0080872"," DOID:5426 "
"8860"," DOID:0080873"," DOID:5426 "
"8863"," DOID:0080874"," DOID:5426 "
"8866"," DOID:0080875"," DOID:3078 "
"8869"," DOID:0080876"," DOID:3078 "
"8872"," DOID:0080877"," DOID:3068 "
"8875"," DOID:0080878"," DOID:3068 "
"8878"," DOID:0080879"," DOID:3070 "
"8881"," DOID:0080880"," DOID:0080879 "
"8884"," DOID:0080881"," DOID:0080854 "
"8887"," DOID:0080882"," DOID:7154 "
"8890"," DOID:0080883"," DOID:0080006 "
"8893"," DOID:0080884"," DOID:0080883 "
"8896"," DOID:0080885"," DOID:0080883 "
"8899"," DOID:0080886"," DOID:0080883 "
"8902"," DOID:0080887"," DOID:0080883 "
"8905"," DOID:0080888"," DOID:5503 "
"8908"," DOID:0080889"," DOID:5074 "
"8911"," DOID:0080890"," DOID:5074 "
"8914"," DOID:0080891"," DOID:0080890 "
"8917"," DOID:0080892"," DOID:0080890 "
"8920"," DOID:0080893"," DOID:225 "
"8923"," DOID:0080894"," DOID:201 "
"8926"," DOID:0080895"," DOID:255 "
"8929"," DOID:0080896"," DOID:3316 "
"8932"," DOID:0080897"," DOID:201 "
"8935"," DOID:0080898"," DOID:225 "
"8938"," DOID:0080899"," DOID:5662 "
"8941"," DOID:0080900"," DOID:3247 "
"8944"," DOID:0080901"," DOID:4014 "
"8947"," DOID:0080902"," DOID:4007 "
"8950"," DOID:0080903"," DOID:0060103 "
"8953"," DOID:0080904"," DOID:7305 "
"8956"," DOID:0080905"," DOID:4439 "
"8959"," DOID:0080906"," DOID:0080905 "
"8962"," DOID:0080907"," DOID:2962 "
"8965"," DOID:0080908"," DOID:2962 "
"8968"," DOID:0080909"," DOID:10286 "
"8971"," DOID:0080910"," DOID:2962 "
"8974"," DOID:0080911"," DOID:0080910 "
"8977"," DOID:0080912"," DOID:0080910 "
"8980"," DOID:0080913"," DOID:0080910 "
"8983"," DOID:0080914"," DOID:0080910 "
"8986"," DOID:0080915"," DOID:5621 "
"8989"," DOID:0080916"," DOID:0080780 "
"8992"," DOID:0080917"," DOID:332 "
"8995"," DOID:0080918"," DOID:936 "
"8998"," DOID:0080919"," DOID:0080918 "
"9001"," DOID:0080920"," DOID:0080918 "
"9004"," DOID:0080921"," DOID:0080918 "
"9007"," DOID:0080922"," DOID:0080918 "
"9010"," DOID:0080923"," DOID:0080918 "
"9013"," DOID:0080924"," DOID:0080918 "
"9016"," DOID:0080925"," DOID:1701 "
"9019"," DOID:0080926"," DOID:0060429 "
"9022"," DOID:0080927",NA
"9026"," DOID:0080928",NA
"9030"," DOID:0080929"," DOID:9120 "
"9033"," DOID:0080930"," DOID:0050639 "
"9036"," DOID:0080931"," DOID:0050639 "
"9039"," DOID:0080932"," DOID:0050639 "
"9042"," DOID:0080933",NA
"9046"," DOID:0080934",NA
"9050"," DOID:0080935",NA
"9054"," DOID:0080936",NA
"9058"," DOID:0080937",NA
"9062"," DOID:0080938"," DOID:3393 "
"9065"," DOID:0080939"," DOID:14735 "
"9068"," DOID:0080940"," DOID:14735 "
"9071"," DOID:0080941"," DOID:1558 "
"9074"," DOID:0080942"," DOID:0080027 "
"9077"," DOID:0080943"," DOID:0111760 "
"9080"," DOID:0080944"," DOID:612 "
"9083"," DOID:0080945"," DOID:0060611 "
"9086"," DOID:0080946"," DOID:906 "
"9089"," DOID:0080947"," DOID:322 "
"9092"," DOID:0080948"," DOID:225 "
"9095"," DOID:0080949"," DOID:0050758 "
"9098"," DOID:0080950"," DOID:0080627 "
"9101"," DOID:0080951"," DOID:0080627 "
"9104"," DOID:0080952"," DOID:225 "
"9107"," DOID:0080953"," DOID:2187 "
"9110"," DOID:0080954"," DOID:863 "
"9113"," DOID:0080956"," DOID:7841 "
"9116"," DOID:0080957"," DOID:1387 "
"9119"," DOID:0080958"," DOID:1387 "
"9122"," DOID:0080959"," DOID:0050431 "
"9125"," DOID:0080960"," DOID:2187 "
"9128"," DOID:0080962"," DOID:0080942 "
"9131"," DOID:0080963"," DOID:0080942 "
"9134"," DOID:0080964"," DOID:0060228 "
"9137"," DOID:0080965"," DOID:0060228 "
"9140"," DOID:0080966"," DOID:0060228 "
"9143"," DOID:0080967"," DOID:0060228 "
"9146"," DOID:0080968"," DOID:0060228 "
"9149"," DOID:0080969"," DOID:0060228 "
"9152"," DOID:0080970"," DOID:0060228 "
"9155"," DOID:0080971"," DOID:0060228 "
"9158"," DOID:0080972"," DOID:0060228 "
"9161"," DOID:0080973"," DOID:0060228 "
"9164"," DOID:0080974"," DOID:0060228 "
"9167"," DOID:0080975"," DOID:0060228 "
"9170"," DOID:0080976"," DOID:9119 "
"9173"," DOID:0080977"," DOID:0080332 "
"9176"," DOID:0080978"," DOID:0080954 "
"9179"," DOID:0080979"," DOID:0080954 "
"9182"," DOID:0080980"," DOID:0080954 "
"9185"," DOID:0080981"," DOID:0080954 "
"9188"," DOID:0080982"," DOID:0060309 "
"9191"," DOID:0080984"," DOID:0060309 "
"9194"," DOID:0080985"," DOID:0060309 "
"9197"," DOID:0080986"," DOID:13359 "
"9200"," DOID:0080987"," DOID:13359 "
"9203"," DOID:0080988"," DOID:4959 "
"9206"," DOID:0080990"," DOID:423 "
"9209"," DOID:0080991"," DOID:423 "
"9212"," DOID:0080992"," DOID:423 "
"9215"," DOID:0080994"," DOID:1826 "
"9218"," DOID:0080995"," DOID:399 "
"9221"," DOID:0080996"," DOID:0050745 "
"9224"," DOID:0080997"," DOID:0050745 "
"9227"," DOID:0080998"," DOID:2913 "
"9230"," DOID:0080999"," DOID:2913 "
"9233"," DOID:0081000"," DOID:6457 "
"9236"," DOID:0081001"," DOID:6457 "
"9239"," DOID:0081002"," DOID:6457 "
"9242"," DOID:0081003"," DOID:6457 "
"9245"," DOID:0081004"," DOID:707 "
"9248"," DOID:0081005"," DOID:0070334 "
"9251"," DOID:0081006"," DOID:0070334 "
"9254"," DOID:0081007"," DOID:10579 "
"9257"," DOID:0081008"," DOID:225 "
"9260"," DOID:0081009"," DOID:1935 "
"9263"," DOID:0081010"," DOID:1935 "
"9266"," DOID:0081011"," DOID:1935 "
"9269"," DOID:0081012"," DOID:0080600 "
"9272"," DOID:0081013"," DOID:0080600 "
"9275"," DOID:0081014"," DOID:0080600 "
"9278"," DOID:0081015"," DOID:0080143 "
"9281"," DOID:0081016"," DOID:0080143 "
"9284"," DOID:0081017"," DOID:0080143 "
"9287"," DOID:0081019"," DOID:0080143 "
"9290"," DOID:0081020"," DOID:0080143 "
"9293"," DOID:0081021"," DOID:0080143 "
"9296"," DOID:0081022"," DOID:0050795 "
"9299"," DOID:0081023"," DOID:0050795 "
"9302"," DOID:0081024"," DOID:0050795 "
"9305"," DOID:0081025"," DOID:0050795 "
"9308"," DOID:0081026"," DOID:0060117 "
"9311"," DOID:0081028"," DOID:3458 "
"9314"," DOID:0081030"," DOID:75 "
"9317"," DOID:0081031"," DOID:75 "
"9320"," DOID:0081034"," DOID:0080699 "
"9323"," DOID:0081036"," DOID:9953 "
"9326"," DOID:0081037"," DOID:9953 "
"9329"," DOID:0081038"," DOID:9953 "
"9332"," DOID:0081039"," DOID:9953 "
"9335"," DOID:0081041"," DOID:1039 "
"9338"," DOID:0081042"," DOID:1039 "
"9341"," DOID:0081043"," DOID:0111375 "
"9344"," DOID:0081044"," DOID:225 "
"9347"," DOID:0081045"," DOID:0081044 "
"9350"," DOID:0081046"," DOID:0081044 "
"9353"," DOID:0081047"," DOID:0081044 "
"9356"," DOID:0081048"," DOID:225 "
"9359"," DOID:0081049"," DOID:0050743 "
"9362"," DOID:0081050"," DOID:0060061 "
"9365"," DOID:0081051"," DOID:225 "
"9368"," DOID:0081052"," DOID:0050696 "
"9371"," DOID:0081055"," DOID:9409 "
"9374"," DOID:0081057"," DOID:9409 "
"9377"," DOID:0081058"," DOID:9409 "
"9380"," DOID:0081059"," DOID:0081055 "
"9383"," DOID:0081060"," DOID:12387 "
"9386"," DOID:0081061"," DOID:12387 "
"9389"," DOID:0081062"," DOID:4194 "
"9392"," DOID:0081063"," DOID:225 "
"9395"," DOID:0081064"," DOID:0050745 "
"9398"," DOID:0081065"," DOID:0050745 "
"9401"," DOID:0081066"," DOID:0050745 "
"9404"," DOID:0081067"," DOID:0050745 "
"9407"," DOID:0090001"," DOID:225 "
"9410"," DOID:0090002"," DOID:225 "
"9413"," DOID:0090003"," DOID:1289 "
"9416"," DOID:0090004"," DOID:2256 "
"9419"," DOID:0090005"," DOID:225 "
"9422"," DOID:0090006"," DOID:225 "
"9425"," DOID:0090007"," DOID:225 "
"9428"," DOID:0090008"," DOID:0090007 "
"9431"," DOID:0090009"," DOID:0090007 "
"9434"," DOID:0090010"," DOID:0090007 "
"9437"," DOID:0090011"," DOID:0090007 "
"9440"," DOID:0090012"," DOID:627 "
"9443"," DOID:0090013"," DOID:627 "
"9446"," DOID:0090014"," DOID:627 "
"9449"," DOID:0090015"," DOID:1934 "
"9452"," DOID:0090016"," DOID:0060388 "
"9455"," DOID:0090017"," DOID:225 "
"9458"," DOID:0090018"," DOID:612 "
"9461"," DOID:0090019"," DOID:5295 "
"9464"," DOID:0090020"," DOID:0080006 "
"9467"," DOID:0090021"," DOID:0090020 "
"9470"," DOID:0090022"," DOID:0090020 "
"9473"," DOID:0090023"," DOID:0090020 "
"9476"," DOID:0090024"," DOID:0090020 "
"9479"," DOID:0090025"," DOID:0090020 "
"9482"," DOID:0090026"," DOID:0090020 "
"9485"," DOID:0090027"," DOID:0090020 "
"9488"," DOID:0090028"," DOID:0050718 "
"9491"," DOID:0090029"," DOID:417 "
"9494"," DOID:0090030"," DOID:9553 "
"9497"," DOID:0090031"," DOID:906 "
"9500"," DOID:0090032"," DOID:2256 "
"9503"," DOID:0090033"," DOID:543 "
"9506"," DOID:0090034"," DOID:0090033 "
"9509"," DOID:0090035"," DOID:0090033 "
"9512"," DOID:0090036"," DOID:0090033 "
"9515"," DOID:0090037"," DOID:543 "
"9518"," DOID:0090038"," DOID:543 "
"9521"," DOID:0090039"," DOID:0050835 "
"9524"," DOID:0090040"," DOID:0050836 "
"9527"," DOID:0090041"," DOID:543 "
"9530"," DOID:0090042"," DOID:543 "
"9533"," DOID:0090043"," DOID:543 "
"9536"," DOID:0090044"," DOID:543 "
"9539"," DOID:0090045"," DOID:543 "
"9542"," DOID:0090046"," DOID:543 "
"9545"," DOID:0090047"," DOID:543 "
"9548"," DOID:0090048"," DOID:0050837 "
"9551"," DOID:0090049"," DOID:543 "
"9554"," DOID:0090050"," DOID:0050838 "
"9557"," DOID:0090051"," DOID:0050836 "
"9560"," DOID:0090052"," DOID:0050836 "
"9563"," DOID:0090053"," DOID:543 "
"9566"," DOID:0090054"," DOID:543 "
"9569"," DOID:0090055"," DOID:0050837 "
"9572"," DOID:0090056"," DOID:543 "
"9575"," DOID:0090057"," DOID:0050836 "
"9578"," DOID:0090058"," DOID:0050835 "
"9581"," DOID:0090059"," DOID:5679 "
"9584"," DOID:0090060"," DOID:225 "
"9587"," DOID:0090061"," DOID:612 "
"9590"," DOID:0090062"," DOID:0090061 "
"9593"," DOID:0090063"," DOID:0090061 "
"9596"," DOID:0090064"," DOID:0090061 "
"9599"," DOID:0090065"," DOID:0090061 "
"9602"," DOID:0090066"," DOID:225 "
"9605"," DOID:0090067"," DOID:0080006 "
"9608"," DOID:0090068"," DOID:7319 "
"9611"," DOID:0090069"," DOID:7319 "
"9614"," DOID:0090070"," DOID:1924 "
"9617"," DOID:0090071"," DOID:0090070 "
"9620"," DOID:0090072"," DOID:0090070 "
"9623"," DOID:0090073"," DOID:0090070 "
"9626"," DOID:0090074"," DOID:0090070 "
"9629"," DOID:0090075"," DOID:0090070 "
"9632"," DOID:0090076"," DOID:0090070 "
"9635"," DOID:0090077"," DOID:0090070 "
"9638"," DOID:0090078"," DOID:0090070 "
"9641"," DOID:0090079"," DOID:0090070 "
"9644"," DOID:0090080"," DOID:0090070 "
"9647"," DOID:0090081"," DOID:0090070 "
"9650"," DOID:0090082"," DOID:0090070 "
"9653"," DOID:0090083"," DOID:0090070 "
"9656"," DOID:0090084"," DOID:0090070 "
"9659"," DOID:0090085"," DOID:0090070 "
"9662"," DOID:0090086"," DOID:0090070 "
"9665"," DOID:0090087"," DOID:0090070 "
"9668"," DOID:0090088"," DOID:0090070 "
"9671"," DOID:0090089"," DOID:0090070 "
"9674"," DOID:0090090"," DOID:0090070 "
"9677"," DOID:0090091"," DOID:0090070 "
"9680"," DOID:0090092"," DOID:0090070 "
"9683"," DOID:0090093"," DOID:0090070 "
"9686"," DOID:0090094"," DOID:0090070 "
"9689"," DOID:0090100"," DOID:0050633 "
"9692"," DOID:0090101"," DOID:2747 "
"9695"," DOID:0090102"," DOID:1588 "
"9698"," DOID:0090103"," DOID:649 "
"9701"," DOID:0090104"," DOID:1289 "
"9704"," DOID:0090105"," DOID:13810 "
"9707"," DOID:0090106"," DOID:9252 "
"9710"," DOID:0090107"," DOID:0090109 "
"9713"," DOID:0090108"," DOID:0090109 "
"9716"," DOID:0090109"," DOID:896 "
"9719"," DOID:0090110"," DOID:417 "
"9722"," DOID:0090111"," DOID:225 "
"9725"," DOID:0090112"," DOID:225 "
"9728"," DOID:0090113"," DOID:225 "
"9731"," DOID:0090114"," DOID:8500 "
"9734"," DOID:0090115"," DOID:863 "
"9737"," DOID:0090116"," DOID:0080006 "
"9740"," DOID:0090117"," DOID:225 "
"9743"," DOID:0090118"," DOID:1588 "
"9746"," DOID:0090119"," DOID:2121 "
"9749"," DOID:0090120"," DOID:9500 "
"9752"," DOID:0090121",NA
"9754"," DOID:0090122"," DOID:15 "
"9757"," DOID:0090123"," DOID:655 "
"9760"," DOID:0090124"," DOID:0080954 "
"9763"," DOID:0090125"," DOID:0112313 "
"9766"," DOID:0090126"," DOID:9252 "
"9769"," DOID:0090127"," DOID:225 "
"9772"," DOID:0090128"," DOID:0080551 "
"9775"," DOID:0090129"," DOID:3146 "
"9778"," DOID:0090130"," DOID:936 "
"9781"," DOID:0090131"," DOID:936 "
"9784"," DOID:0090132"," DOID:0090131 "
"9787"," DOID:0090133"," DOID:0090131 "
"9790"," DOID:0090134"," DOID:0090131 "
"9793"," DOID:0090135"," DOID:0090131 "
"9796"," DOID:0090136"," DOID:0090131 "
"9799"," DOID:0090137"," DOID:0090131 "
"9802"," DOID:0090138"," DOID:0090131 "
"9805"," DOID:0090139"," DOID:28 "
"9808"," DOID:0090140"," DOID:0090139 "
"9811"," DOID:0090141"," DOID:0090139 "
"9814"," DOID:0090142"," DOID:9252 "
"9817"," DOID:0090143"," DOID:225 "
"9820"," DOID:0090144"," DOID:225 "
"9823"," DOID:0090145"," DOID:655 "
"9826"," DOID:0110000"," DOID:0060336 "
"9829"," DOID:0110001"," DOID:0060336 "
"9832"," DOID:0110002"," DOID:0060336 "
"9835"," DOID:0110003"," DOID:0060336 "
"9838"," DOID:0110004"," DOID:0060336 "
"9841"," DOID:0110005"," DOID:14791 "
"9844"," DOID:0110006"," DOID:0060336 "
"9847"," DOID:0110007"," DOID:13911 "
"9850"," DOID:0110008"," DOID:13911 "
"9853"," DOID:0110009"," DOID:13911 "
"9856"," DOID:0110010"," DOID:13911 "
"9859"," DOID:0110011"," DOID:0050628 "
"9862"," DOID:0110012"," DOID:0050628 "
"9865"," DOID:0110013"," DOID:0050628 "
"9868"," DOID:0110014"," DOID:10871 "
"9871"," DOID:0110015"," DOID:10871 "
"9874"," DOID:0110016"," DOID:14791 "
"9877"," DOID:0110017"," DOID:10871 "
"9880"," DOID:0110018"," DOID:10871 "
"9883"," DOID:0110019"," DOID:10871 "
"9886"," DOID:0110020"," DOID:10871 "
"9889"," DOID:0110021"," DOID:10871 "
"9892"," DOID:0110022"," DOID:10871 "
"9895"," DOID:0110023"," DOID:10871 "
"9898"," DOID:0110024"," DOID:10871 "
"9901"," DOID:0110025"," DOID:10871 "
"9904"," DOID:0110026"," DOID:10871 "
"9907"," DOID:0110027"," DOID:10871 "
"9910"," DOID:0110028"," DOID:10871 "
"9913"," DOID:0110029"," DOID:1099 "
"9916"," DOID:0110030"," DOID:1099 "
"9919"," DOID:0110031"," DOID:1099 "
"9922"," DOID:0110032"," DOID:10983 "
"9925"," DOID:0110033"," DOID:10983 "
"9928"," DOID:0110034"," DOID:10983 "
"9931"," DOID:0110035"," DOID:10652 "
"9934"," DOID:0110036"," DOID:10652 "
"9937"," DOID:0110037"," DOID:10652 "
"9940"," DOID:0110038"," DOID:10652 "
"9943"," DOID:0110039"," DOID:10652 "
"9946"," DOID:0110040"," DOID:10652 "
"9949"," DOID:0110041"," DOID:10652 "
"9952"," DOID:0110042"," DOID:10652 "
"9955"," DOID:0110043"," DOID:10652 "
"9958"," DOID:0110044"," DOID:10652 "
